iter	Passed	Remaining
189	1409	6009
190	1417	6004
191	1425	5998
192	1432	5988
193	1437	5973
194	1445	5966
195	1454	5966
196	1461	5958
197	1467	5945
198	1474	5934
199	1482	5929
200	1491	5927
201	1497	5917
202	1503	5903
203	1510	5895
204	1520	5894
205	1526	5884
206	1533	5874
207	1540	5864
208	1547	5856
209	1554	5849
210	1562	5841
211	1568	5829
212	1574	5817
213	1581	5810
214	1589	5805
215	1596	5795
216	1602	5783
217	1609	5775
218	1618	5770
219	1624	5760
220	1630	5748
221	1637	5737
222	1643	5725
223	1650	5719
224	1658	5712
225	1664	5699
226	1670	5688
227	1676	5676
228	1684	5671
229	1690	5660
230	1696	5648
231	1702	5634
232	1709	5629
233	1717	5623
234	1724	5614
235	1731	5605
236	1737	5594
237	1744	5586
238	1752	5581
239	1758	5568
240	1764	5556
241	1769	5543
242	1775	5532
243	1783	5527
244	1790	5519
245	1797	5509
246	1803	5499
247	1812	5495
248	1821	5494
249	1829	5489
250	1836	5480
251	1845	5477
252	1853	5473
253	1860	5465
254	1868	5457
255	1876	5453
256	1885	5451
257	1893	5445
258	1900	5436
259	1906	5424
260	1912	5416
261	1920	5410
262	1926	5399
263	1933	5389
264	1939	5378
265	1948	5375
266	1954	5366
267	1960	5354
268	1966	5343
269	1972	5332
270	1981	5329
271	1987	5319
272	1993	5309
273	2000	5300
274	2008	5295
275	2016	5289
276	2023	5282
277	2030	5272
278	2036	5263
279	2043	5254
280	2051	5250
281	2058	5241
282	2064	5231
283	2070	5220
284	2079	5216
285	2087	5210
286	2093	5200
287	2099	5189
288	2105	5180
289	2113	5175
290	2121	5168
291	2128	5161
292	2134	5151
293	2141	5142
294	2149	5136
295	2157	5131
296	2163	5121
297	2169	5111
298	2177	5105
299	2185	5098
300	2190	5087
301	2197	5078
302	2203	5069
303	2210	5060
304	2217	5053
305	2224	5044
306	2230	5035
307	2235	5023
308	2243	5017
309	2251	5011
310	2258	5002
311	2264	4993
312	2269	4980
313	2276	4973
314	2284	4967
315	2290	4957
316	2297	4949
317	2303	4940
318	2311	4935
319	2319	4929
320	2325	4919
321	2331	4909
322	2337	4899
323	2345	4892
324	2351	4883
325	2357	4873
326	2364	4865
327	2370	4856
328	2378	4850
329	2386	4844
330	2393	4837
331	2400	4829
332	2407	4822
333	2416	4818
334	2423	4811
335	2430	4802
336	2437	4794
337	2444	4787
338	2451	4779
339	2458	4772
340	2464	4763
341	2471	4755
342	2480	4750
343	2487	4743
344	2494	4735
345	2502	4729
346	2511	4726
347	2518	4718
348	2524	4708
349	2530	4699
350	2538	4693
351	2546	4688
352	2553	4679
353	2559	4670
354	2564	4659
355	2571	4651
356	2578	4644
357	2586	4638
358	2593	4630
359	2598	4619
360	2605	4612
361	2613	4606
362	2619	4597
363	2626	4588
364	2632	4579
365	2638	4571
366	2646	4564
367	2653	4556
368	2659	4547
369	2665	4538
370	2672	4530
371	2681	4526
372	2687	4518
373	2694	4509
374	2700	4501
375	2708	4494
376	2716	4488
377	2722	4480
378	2729	4471
379	2735	4463
380	2743	4457
381	2750	4449
382	2756	4440
383	2762	4432
384	2768	4423
385	2777	4418
386	2784	4410
387	2791	4402
388	2797	4393
389	2804	4386
390	2812	4380
391	2818	4371
392	2823	4361
393	2830	4353
394	2837	4345
395	2844	4338
396	2851	4331
397	2858	4323
398	2863	4313
399	2870	4305
400	2878	4299
401	2884	4291
402	2891	4283
403	2898	4275
404	2905	4269
405	2913	4263
406	2920	4255
407	2926	4246
408	2933	4238
409	2943	4235
410	2950	4228
411	2956	4219
412	2963	4212
413	2973	4209
414	2983	4205
